bookID,title,authors,average_rating,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,9780439785969,eng,652,2095690,27591,16-09-06,Scholastic Inc.,
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,9780439358071,eng,870,2153167,29221,01-09-04,Scholastic Inc.,
3,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,9780439554893,eng,352,6333,244,01-11-03,Scholastic,
4,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,9780439655484,eng,435,2339585,36325,01-05-04,Scholastic Inc.,
5,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,9780439682589,eng,2690,41428,164,13-09-04,Scholastic,
6,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,9780976540601,en-US,152,19,1,26-04-05,Nimble Books,
7,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,9780439827607,eng,3342,28242,808,12-09-05,Scholastic,
8,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,9780517226957,eng,815,3628,254,01-11-05,Gramercy Books,
9,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,9780345453747,eng,815,249558,4080,30-04-02,Del Rey Books,
10,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,9781400052929,eng,215,4930,460,03-08-04,Crown,
11,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,9780739322208,eng,6,1266,253,23-03-05,Random House Audio,
12,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,9780517149256,eng,815,2877,195,17-01-96,Wings Books,
13,A Short History of Nearly Everything,Bill Bryson,4.21,9780767908184,eng,544,248558,9396,14-09-04,Broadway Books,
14,Bill Bryson's African Diary,Bill Bryson,3.44,9780767915069,eng,55,7270,499,03-12-02,Broadway Books,
15,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,9780767910439,eng,256,2088,131,14-09-04,Broadway Books,
16,In a Sunburned Country,Bill Bryson,4.07,9780767903868,eng,335,72451,4245,15-05-01,Broadway Books,
17,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,9780767903820,eng,304,49240,2211,28-06-00,Broadway Books,
18,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,9780060920081,eng,299,45712,2257,28-08-90,William Morrow Paperbacks,
19,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,9780380713806,eng,254,48701,2238,28-03-93,William Morrow Paperbacks,
20,Notes from a Small Island,Bill Bryson,3.91,9780380727506,eng,324,80609,3301,28-05-97,William Morrow Paperbacks,
21,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,9780380715435,eng,270,28489,2085,28-09-91,William Morrow Paperbacks,
22,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,9780345538376,eng,1728,101233,1550,25-09-12,Ballantine Books,
23,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,9780618517657,eng,1184,1710,91,21-10-04,Houghton Mifflin Harcourt,
24,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,9780618346257,eng,398,2128944,13670,05-09-03,Houghton Mifflin Harcourt,
25,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,9780618260584,en-US,1216,1618,140,01-10-02,Houghton Mifflin Harcourt,
26,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,9780618391004,eng,218,19822,46,05-11-03,Houghton Mifflin Harcourt,
27,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,9780618510825,eng,224,359,6,15-11-04,Houghton Mifflin Harcourt,
28,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,9780976694007,eng,558,1430,59,28-07-05,Pragmatic Bookshelf,
29,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,9780689840920,eng,208,270244,12017,01-04-00,Atheneum Books for Young Readers: Richard Jackson Books,
30,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,9781557344496,eng,48,36,2,28-08-94,Teacher Created Resources,
31,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,9780385326506,eng,144,2067,334,23-01-01,Delacorte Press,
32,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,9781575606248,eng,56,6,0,10-06-03,Cherry Lane Music Company,
33,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,9781595580276,en-US,228,99,16,01-11-05,The New Press,
34,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,9781595962805,eng,304,167,4,01-11-05,Changeling Press,
35,Changeling (Changeling  #1),Delia Sherman,3.6,9780670059676,eng,256,978,111,17-08-06,Viking Juvenile,
36,The Changeling Sea,Patricia A. McKillip,4.06,9780141312620,eng,137,4454,302,14-04-03,Firebird,
37,The Changeling,Zilpha Keatley Snyder,4.17,9780595321803,eng,228,1176,96,08-06-04,iUniverse,
38,The Changeling,Kate Horsley,3.55,9781590301944,eng,339,301,43,12-04-05,Shambhala,
39,The Changeling (Daughters of England  #15),Philippa Carr,3.98,9780449146972,eng,369,345,12,28-08-90,Ivy Books,
40,The Known World,Edward P. Jones,3.83,9780061159176,eng,388,29686,2626,29-08-06,Amistad,
41,The Known World,Edward P. Jones/Kevin R. Free,3.83,9780060762735,en-US,14,55,12,15-06-04,HarperAudio,
42,The Known World,Edward P. Jones,3.83,9780060749910,eng,576,22,3,15-06-04,Harper,
43,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,9780273704744,eng,334,1456,82,15-05-06,FT Press,
44,Artesia: Adventures in the Known World,Mark Smylie,4.13,9781932386103,eng,352,52,4,14-12-05,Archaia,
45,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,9780374517199,eng,416,562,37,01-06-82,Farrar  Straus and Giroux,
46,Uncommon Carriers,John McPhee,3.95,9780374280390,en-US,248,1630,203,16-05-06,Farrar Straus Giroux,
47,Heirs of General Practice,John McPhee,4.17,9780374519742,eng,128,268,22,01-04-86,Farrar  Straus and Giroux,
48,The Control of Nature,John McPhee,4.24,9780374522599,en-US,288,3498,305,01-09-90,Farrar  Straus and Giroux,
49,Annals of the Former World,John McPhee,4.34,9780374518738,eng,720,3115,228,06-01-99,Farrar  Straus and Giroux,
50,Coming Into the Country,John McPhee,4.22,9780374522872,eng,448,5704,261,01-04-91,Farrar  Straus and Giroux,
51,La Place de la Concorde Suisse,John McPhee,3.92,9780374519322,fre,160,698,52,01-04-94,Farrar  Straus and Giroux,
52,Giving Good Weight,John McPhee,4.23,9780374516000,eng,288,542,36,01-04-94,Farrar  Straus and Giroux,
53,Rising from the Plains,John McPhee,4.23,9780374520656,eng,208,1341,98,01-11-87,Farrar  Straus and Giroux,
54,The Heidi Chronicles,Wendy Wasserstein,3.75,9780822205104,eng,81,1423,70,01-03-02,Dramatists Play Service,
55,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,9780679734994,eng,249,2766,64,02-07-91,Vintage,
56,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,9781596670235,eng,138,31,1,29-03-06,Routledge,
57,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,9781581807745,en-US,128,62,4,14-03-06,North Light Books,
58,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,9780800793616,eng,192,860,53,01-09-03,Chosen Books,
59,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,9780871202864,en-US,108,77,2,28-01-97,Association for Supervision & Curriculum Development,
